"candidate","township","count","county"
"Bennet, d","Alton",3,"BELKNAP COUNTY"
"Biden, d","Alton",124,"BELKNAP COUNTY"
"Booker, d","Alton",0,"BELKNAP COUNTY"
"Boyd, d","Alton",0,"BELKNAP COUNTY"
"Bullock, d","Alton",0,"BELKNAP COUNTY"
"Burke, d","Alton",0,"BELKNAP COUNTY"
"Buttigieg, d","Alton",217,"BELKNAP COUNTY"
"Castro, d","Alton",0,"BELKNAP COUNTY"
"De La Fuente, d","Alton",0,"BELKNAP COUNTY"
"Delaney, d","Alton",0,"BELKNAP COUNTY"
"Dunlap, d","Alton",0,"BELKNAP COUNTY"
"Ellinger, d","Alton",0,"BELKNAP COUNTY"
"Gabbard, d","Alton",31,"BELKNAP COUNTY"
"Gleiberman, d","Alton",0,"BELKNAP COUNTY"
"Greenstein, d","Alton",0,"BELKNAP COUNTY"
"Harris, d","Alton",0,"BELKNAP COUNTY"
"Hewes, d","Alton",0,"BELKNAP COUNTY"
"Klobuchar, d","Alton",202,"BELKNAP COUNTY"
"Koos, d","Alton",0,"BELKNAP COUNTY"
"Kraus, d","Alton",0,"BELKNAP COUNTY"
"Krichevsky, d","Alton",0,"BELKNAP COUNTY"
"Moroz, d","Alton",0,"BELKNAP COUNTY"
"Patrick, d","Alton",3,"BELKNAP COUNTY"
"Sanders, d","Alton",170,"BELKNAP COUNTY"
"Sestak, d","Alton",0,"BELKNAP COUNTY"
"Sloan, d","Alton",0,"BELKNAP COUNTY"
"Steyer, d","Alton",40,"BELKNAP COUNTY"
"Thistle, d","Alton",0,"BELKNAP COUNTY"
"Torgesen, d","Alton",0,"BELKNAP COUNTY"
"Warren, d","Alton",72,"BELKNAP COUNTY"
"Wells, d","Alton",0,"BELKNAP COUNTY"
"Williamson, d","Alton",0,"BELKNAP COUNTY"
"Yang, d","Alton",18,"BELKNAP COUNTY"
"Scatter","Alton",0,"BELKNAP COUNTY"
"Bennet, d","Barnstead",2,"BELKNAP COUNTY"
"Biden, d","Barnstead",58,"BELKNAP COUNTY"
"Booker, d","Barnstead",0,"BELKNAP COUNTY"
"Boyd, d","Barnstead",0,"BELKNAP COUNTY"
"Bullock, d","Barnstead",0,"BELKNAP COUNTY"
"Burke, d","Barnstead",0,"BELKNAP COUNTY"
"Buttigieg, d","Barnstead",151,"BELKNAP COUNTY"
"Castro, d","Barnstead",0,"BELKNAP COUNTY"
"De La Fuente, d","Barnstead",0,"BELKNAP COUNTY"
"Delaney, d","Barnstead",0,"BELKNAP COUNTY"
"Dunlap, d","Barnstead",0,"BELKNAP COUNTY"
"Ellinger, d","Barnstead",0,"BELKNAP COUNTY"
"Gabbard, d","Barnstead",29,"BELKNAP COUNTY"
"Gleiberman, d","Barnstead",0,"BELKNAP COUNTY"
"Greenstein, d","Barnstead",0,"BELKNAP COUNTY"
"Harris, d","Barnstead",0,"BELKNAP COUNTY"
"Hewes, d","Barnstead",0,"BELKNAP COUNTY"
"Klobuchar, d","Barnstead",143,"BELKNAP COUNTY"
"Koos, d","Barnstead",1,"BELKNAP COUNTY"
"Kraus, d","Barnstead",0,"BELKNAP COUNTY"
