township,machine
Acworth,
Albany,
Alexandria,
Allenstown,1
Alstead,
Alton,1
Amherst,1
Andover,
Antrim,1
Ashland,1
At. & Gil. Ac. Gt,
Atkinson,1
Auburn,1
Barnstead,1
Barrington,1
Bartlett,1
Bath,
Beans Gt,
Beans Pur,
Bedford,1
Belmont,1
Bennington,
Benton,
Berlin,1
Bethlehem,1
Boscawen,1
Bow,1
Bradford,1
Brentwood,1
Bridgewater,
Bristol,1
Brookfield,1
Brookline,
Cambridge,
Campton,1
Canaan,1
Candia,1
Canterbury,1
Carroll,1
Center Harbor,
Chandlers Purchase,
Charlestown,1
Chatham,
Chester,1
Chesterfield,
Chichester,
Claremont Ward 1,
Claremont Ward 2,
Claremont Ward 3,1
Clarksville,
Colebrook,
Columbia,
Concord Ward 1,
Concord Ward 10,1
Concord Ward 2,
Concord Ward 3,
Concord Ward 4,
Concord Ward 5,
Concord Ward 6,
Concord Ward 7,
Concord Ward 8,
Concord Ward 9,
Conway,1
Cornish,
Crawfords Pur.,
Croydon,
Cutts Gt,
Dalton,
Danbury,
Danville,1
Deerfield,1
Deering,
Derry,1
Dixs Gt.,
Dixville,
Dorchester,
Dover Ward 1,
Dover Ward 2,
Dover Ward 3,
Dover Ward 4,
Dover Ward 5,
Dover Ward 6,1
Dublin,
Dummer,
Dunbarton,
Durham,1
East Kingston,1
Easton,
Eaton,
Effingham,
Ellsworth,
Enfield,1
Epping,1
Epsom,1
Errol,
Ervings Loc.,
Exeter,1
Farmington,1
Fitzilliam,1
Francestown,
Franconia,
Franklin Ward 1,
Franklin Ward 2,
Franklin Ward 3,1
Freedom,
Fremont,1
Gilford,1
Gilmanton,1
Gilsum,
Goffstown,1
Gorham,1
Goshen,
Grafton,1
Grantham,1
Greenfield,
Greenland,1
Greens Gt.,
Greenville,
Groton,
Hadleys Pur.,
Hales Loc.,
Hampstead,1
Hampton,1
Hampton Falls,1
Hancock,
Hanover,1
Harrisville,
Harts Loc.,
Haverhill,
Hebron,
Henniker,1
Hill,
Hillsborough,1
Hinsdale,
Holderness,
Hollis,1
Hooksett,1
Hopkinton,1
Hudson,1
Jackson,
Jaffrey,1
Jefferson,
Keene Ward 1,
Keene Ward 2,
Keene Ward 3,
Keene Ward 4,
Keene Ward 5,1
Kensington,1
Kilkenny,
Kingston,1
Laconia Ward 1,
Laconia Ward 2,
Laconia Ward 3,
Laconia Ward 4,
Laconia Ward 5,
Laconia Ward 6,1
Lancaster,
Landaff,
Langdon,
Lebanon Ward 1,
Lebanon Ward 2,
Lebanon Ward 3,1
Lee,1
Lempster,
Lincoln,1
Lisbon,
Litchfield,1
Littleton,1
Livermore,
Londonderry,1
Loudon,1
Low & Burbanks Gt,
Lyman,
Lyme,
Lyndeborough,
Madbury,
Madison,1
Manchester Ward 1,
Manchester Ward 10,
Manchester Ward 11,
Manchester Ward 12,1
Manchester Ward 2,
Manchester Ward 3,
Manchester Ward 4,
Manchester Ward 5,
Manchester Ward 6,
Manchester Ward 7,
Manchester Ward 8,
Manchester Ward 9,
Marlborough,
Marlow,
Martins Loc.,
Mason,
Meredith,1
Merrimack,1
Middleton,1
Milan,1
Milford,1
Millsfield,
Milton,1
Monroe,
Mont Vernon,
Moultonborough,1
Nashua Ward 1,
Nashua Ward 2,
Nashua Ward 3,
Nashua Ward 4,
Nashua Ward 5,
Nashua Ward 6,
Nashua Ward 7,
Nashua Ward 8,
Nashua Ward 9,1
Nelson,
New Boston,1
New Castle,
New Durham,1
New Hampton,1
New Ipswich,1
New London,1
Newbury,1
Newfields,1
Newington,1
Newmarket,1
Newport,1
Newton,1
North Hampton,1
Northfield,
Northumberland,
Northwood,1
Nottingham,1
Odell,
Orange,
Orford,
Ossipee,1
Pelham,1
Pembroke,1
Peterborough,1
Piermont,
Pinkhams Gt.,
Pittsburg,
Pittsfield,1
Plainfield,
Plaistow,1
Plymouth,1
Portsmouth Ward 1,
Portsmouth Ward 2,
Portsmouth Ward 3,
Portsmouth Ward 4,
Portsmouth Ward 5,1
Randolph,
Raymond,1
Richmond,
Rindge,1
Rochester Ward 1,
Rochester Ward 2,
Rochester Ward 3,
Rochester Ward 4,
Rochester Ward 5,
Rochester Ward 6,1
Rollinsford,1
Roxbury,
Rumney,
Rye,1
Salem,1
Salisbury,
Sanbornton,1
Sandown,1
Sandwich,
Sargents Pur.,
Seabrook,1
Second Coll. Gt.,
Sharon,
Shelburne,
Somersworth Ward 1,
Somersworth Ward 2,
Somersworth Ward 3,
Somersworth Ward 4,
Somersworth Ward 5,1
South Hampton,
Springfield,
Stark,
Stewartstown,
Stoddard,1
Strafford,1
Stratford,
Stratham,1
Success,
Sugar Hill,
Sullivan,
Sunapee,1
Surry,
Sutton,
Swanzey,1
Tamworth,1
Temple,
Thompson & Mess Pur.,
Thornton,1
Tilton,1
Troy,
Tuftonboro,
Unity,
Wakefield,1
Walpole,1
Warner,
Warren,
Washington,
Waterville Valley,
Weare,1
Webster,
Wentworth,
Wentworths Loc,
Westmoreland,
Whitefield,
Wilmot,
Wilton,
Winchester,1
Windham,1
Windsor,
Wolfeboro,1
Woodstock,1
